NormalizedRuntimeInSeconds,SendTolerance
1.0,1
0.7216659204822171,1
1.0,1
1.0,1
0.7322453390975413,1
1.0,1
1.0,1
1.0,1
1.0,1
0.8432515337423313,2
1.0,2
0.6548790977731053,2
0.9260630377233618,2
1.0,2
0.9544377139847248,2
0.9549686490594718,2
0.9464776508028353,2
0.8730078684692905,2
0.8271890686001115,3
0.6031973093680728,3
0.6137500398228678,3
0.594815105890139,3
0.6073709808159957,3
0.8973987561029962,3
0.9057871736152084,3
0.9016635324750469,3
0.582010582010582,3
0.7998187395426659,4
0.5993207901547332,4
0.5444263914110038,4
0.5699040370615486,4
0.5914725749797353,4
0.8443710621745915,4
0.8593657809734292,4
0.8724432229133515,4
0.7894644157881676,4
0.7927635248187396,5
0.5817071972220098,5
0.5377786273322925,5
0.5067939278623428,5
0.5671980545798433,5
0.8328336135815725,5
0.8183845515365461,5
0.8524229712136554,5
0.7666674671213248,5
0.7682375906302288,6
0.5573997837885059,6
0.531290154725116,6
0.48828383520847113,6
0.506230748446366,6
0.813587650169162,6
0.8138444153324599,6
0.7993249433434592,6
0.7205772878995269,6
0.7264779698828779,7
0.5523439291525165,7
0.517091974895664,7
0.48250330906684313,7
0.4953904350175628,7
0.7527197585138065,7
0.7915237457123713,7
0.4685086069723709,7
0.4577560054110735,7
0.7006134969325154,8
0.5336055996593031,8
0.5025221149659647,8
0.4738583719391131,8
0.48917589840583625,8
0.4550961285225178,8
0.4324429732891987,8
0.7513959207290611,8
0.6584620064196464,8
0.6823480200780814,9
0.508719438286906,9
0.4818248430979005,9
0.467550463269358,9
0.477319643339638,9
0.4363262494682037,9
0.4232726981809454,9
0.4044457302666474,9
0.37454874368641383,9
0.6463608477412158,10
0.49258001463249507,10
0.47329743965508086,10
0.4511085373924553,10
0.4717427722237233,10
0.42846579283239805,10
0.4199125973779213,10
0.40262307729398716,10
0.3306277965884622,10
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
0.3347436011715195,1
0.6857026664451448,2
0.6945645681092237,2
0.7478387829238965,2
0.7163488967181606,2
0.7171034411589099,2
0.6957535401430179,2
0.6066978966635911,2
0.4294660564139245,2
1.0,2
0.6125558247431627,3
0.5697384940605853,3
0.5877167340063616,3
0.6158351711617112,3
0.5475422023459144,3
0.5339498538581033,3
0.4450474303497646,3
0.27830653485868956,3
0.7965067069118947,3
0.597164189837603,4
0.4933452085859507,4
0.48111670651217253,4
0.4634563476231259,4
0.48039542947882957,4
0.42220586536116095,4
0.34654810142665565,4
0.20096995456180464,4
0.2951175566620185,4
0.5784720448532128,5
0.41613281683138215,5
0.4207969838558546,5
0.3792770934024019,5
0.3549482915302569,5
0.36573903293862897,5
0.2713808315583133,5
0.15607889184276205,5
0.16894480477159593,5
0.5135504412665428,6
0.36934718302554254,6
0.3412455499706887,6
0.3511021122138804,6
0.30792996585061244,6
0.2675864548072767,6
0.23600489811227376,6
0.12452435980656036,6
0.11858191808493186,6
0.4388438543808009,7
0.33075797734402107,7
0.2791402851495036,7
0.3043183876841023,7
0.2582380263907477,7
0.22585021204483113,7
0.17184062603512015,7
0.09784325912818018,7
0.07970278730535817,7
0.38705485889141544,8
0.28144348703200955,8
0.2606891560706064,8
0.25169693181212693,8
0.2273224584610557,8
0.188288107087989,8
0.12718002892926755,8
0.07043218885677759,8
0.053770161177858246,8
0.35635094018662383,9
0.243789636338273,9
0.19235819555953046,9
0.18503606995400773,9
0.19981867022727295,9
0.16209725390175328,9
0.1091006238046703,9
0.05051008290598644,9
0.032460977713601555,9
0.2606212695681068,10
0.17600590901124216,10
0.16451953904569883,10
0.13099027001456834,10
0.12612528181405588,10
0.12175010805513593,10
0.08208499345568257,10
0.03549172800662256,10
0.01795188536803858,10
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
0.9822584111862431,1
0.7262215890564884,2
0.6568982704575346,2
0.733926418409177,2
0.6171284901602817,2
0.5941131394231018,2
0.4969668588745498,2
0.3631074059490445,2
0.9288317109384492,2
1.0,2
0.6807465224654002,3
0.5308497613966728,3
0.5148248303420717,3
0.4814146500511437,3
0.390099221793241,3
0.3229424630113235,3
0.20303986296022875,3
0.6802088760479326,3
0.5357729991814248,3
0.6393145757984661,4
0.4513563812649956,4
0.42217609976230663,4
0.3028931208486206,4
0.31611176215764686,4
0.2266749250689301,4
0.12636888737879304,4
0.3490817526395235,4
0.3147015241386601,4
0.5864655808097277,5
0.4143776035053273,5
0.38608804988115336,5
0.2636790270808541,5
0.2357988916292291,5
0.17685607769470557,5
0.08558001748988077,5
0.20961585588108705,5
0.1908358052291587,5
0.5113944750716074,6
0.3703487512650335,6
0.31937889696510385,6
0.22643888004124454,6
0.16100975304146123,6
0.13408187605752733,6
0.06747464888485942,6
0.1318858255474167,6
0.4033973664509106,6
0.43990499169806024,7
0.32490230340336657,7
0.2631799235247511,7
0.19207902378505756,7
0.14161844224028278,7
0.10450111499146478,7
0.04792064512894824,7
0.08192510692979187,7
0.18001466277783099,7
0.37936353467000417,8
0.2683197701524105,8
0.226156602018671,8
0.15621958009197628,8
0.11778553664164693,8
0.0868359210493886,8
0.03656186306220305,8
0.055982662649634786,8
0.07787418269184025,8
0.2990604511640273,9
0.20731198853794344,9
0.17579144992938095,9
0.15659977376710724,9
0.09091505309720767,9
0.056924038058661086,9
0.02974115233549036,9
0.03952412381409352,9
0.03429720548720534,9
0.1982232343956138,10
0.14808946771937673,10
0.14511867442901927,10
0.09437160341679939,10
0.06993073977104257,10
0.04442927546450833,10
0.02316852198510575,10
0.029431948994952627,10
0.014996351889291062,10
