NormalizedMessages,SendTolerance
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
0.8898691816245817,2
0.926884370507291,2
0.9509221963112148,2
0.8912909836065573,2
0.9183980728696176,2
0.9280733213787608,2
0.9237107405971307,2
0.9199517669974956,2
0.8645632935744517,2
0.8703985397018558,3
0.8194701170671596,3
0.9006783972864109,3
0.8640368852459016,3
0.8210378400080297,3
0.8622235505080693,3
0.8695230709577355,3
0.8689360912716817,3
0.810850327048865,3
0.852651860866038,4
0.80262887656603,4
0.7902268390926437,4
0.8218237704918033,4
0.8013650506875439,4
0.7746563060370592,4
0.8040907328421869,4
0.8276597718207959,4
0.7629857637552905,4
0.8332826285366596,5
0.7868145409735059,5
0.7786728853084588,5
0.7174180327868852,5
0.7708521529659741,5
0.7549312612074118,5
0.7236331911593641,5
0.7823949540858919,5
0.7266641015775298,5
0.8045837136193084,6
0.7640172520024646,6
0.7570489718041128,6
0.7024590163934427,6
0.6677707517815918,6
0.7320183303446902,6
0.7061845676618844,6
0.7254429088210741,6
0.6791843016544825,6
0.7737551972416591,7
0.7409118915588416,7
0.7357430570277719,7
0.6870901639344262,7
0.6569306433805079,7
0.6351862920900578,7
0.6875727025979061,7
0.650681754939245,7
0.6339361292804925,7
0.7397829834702363,8
0.7146231258985418,8
0.7152851388594446,8
0.6718237704918033,8
0.645387935360835,8
0.6259214983064355,8
0.5982939123691353,8
0.6370466561543456,8
0.580454020777222,8
0.7052023121387283,9
0.6877182172930787,9
0.6928132287470851,9
0.6525614754098361,9
0.6302318578741343,9
0.6139669256824068,9
0.5881155486622722,9
0.5556998423151841,9
0.515659869180454,9
0.667680762600142,10
0.6591702608338468,10
0.6697053211787153,10
0.636577868852459,10
0.6157783800060223,10
0.6024108388125125,10
0.577937184955409,10
0.5472590668769131,10
0.4501731435167372,10
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
0.4071268894347617,1
0.9087298497001791,2
0.8460836608646828,2
0.8800891229491594,2
0.8157815601130691,2
0.8006980064512718,2
0.7516110395093551,2
0.6359437201811164,2
0.4327080082731594,2
1.0,2
0.8715053344755082,3
0.7705642897248737,3
0.7650394976706502,3
0.7353701810308534,3
0.672148485008725,3
0.6288609395137994,3
0.5087063542711278,3
0.2886413391874403,3
0.5029763065205807,3
0.8375515925550969,4
0.7317518248175182,4
0.6940112078860307,4
0.6438924640644734,4
0.6114430754587277,4
0.5370427980978623,4
0.42161242288874706,4
0.21695271961972495,4
0.1878192381175186,4
0.7979908106845262,5
0.6956064008983717,5
0.6589021673080818,5
0.576411860227341,5
0.5372534503727989,5
0.4838896049064486,5
0.3554258972255143,5
0.17761892666642476,5
0.10684160590582395,5
0.7441788022739662,6
0.6506176305446378,6
0.6140706231854702,6
0.5406266915258314,6
0.4678758394585162,6
0.4238478289853784,6
0.3156471267511472,6
0.1468606746737303,6
0.0718050194304727,6
0.6842146250292034,7
0.5999438517686693,7
0.5653230706907029,7
0.4989474950381909,7
0.43376870604410134,7
0.36153948713390516,7
0.27140122162457836,7
0.12052928867762497,7
0.05071418359522231,7
0.6214469278093606,8
0.5472346996069624,8
0.5169806225102964,8
0.4555241474709809,8
0.39907990058695997,8
0.3304742011466157,8
0.22715531649800955,8
0.10213239474097996,8
0.0372265762077436,8
0.5581341017054746,9
0.49473610331274565,9
0.4696509351157923,9
0.41360437842064113,9
0.3643910951298186,9
0.3028754277587663,9
0.20715957091196402,9
0.08286464191976003,9
0.027625063360237064,9
0.4880461023284791,10
0.43613138686131386,10
0.4170548916345959,10
0.36915859746195945,10
0.3244672412881392,10
0.27123238967157015,10
0.18491506366426597,10
0.0735754804842943,10
0.02050922135142512,10
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
0.9700049084817142,1
0.8086663294554038,2
0.6707593891869583,2
0.7252714527878316,2
0.6101078698701788,2
0.5745671862485368,2
0.4982034434649769,2
0.36016764273906604,2
0.8528386616712139,2
1.0,2
0.7448996796493003,3
0.5626289723483285,3
0.523571723095249,3
0.47539915281850764,3
0.37674819789292097,3
0.3185867608202586,3
0.20094698482734888,3
0.5981750062008016,3
0.7923160919949066,3
0.6954645085145844,4
0.5027342137845646,4
0.441677738580657,4
0.3440688720824544,4
0.30375207935432197,4
0.2197254892791171,4
0.12724686130758878,4
0.3097724632194562,4
0.5161304091112803,4
0.6430955993930197,5
0.4578518365662402,5
0.3999633481467907,5
0.28756152355473236,5
0.22407738278602674,5
0.1702714709939907,5
0.0837752800703018,5
0.18147787945641816,5
0.3652123807559062,5
0.5683021412915191,6
0.40690775897647546,6
0.34638292023640443,6
0.25532060846152527,6
0.17678516419197832,6
0.1271619083249546,6
0.06299200501453354,6
0.11219534482983695,6
0.5047075185135126,6
0.48973191704602936,7
0.3531004952538176,7
0.2973610665689284,7
0.22059302704463996,7
0.15443287536196168,7
0.09691272866150692,7
0.04470677883817682,7
0.069145464276856,7
0.21610302120606376,7
0.407148878772551,8
0.29619789517127526,8
0.25074449076831445,8
0.18310438853732572,8
0.1308606986630522,8
0.08004614149538974,8
0.03267435643746889,8
0.04627103377152331,8
0.09325048195599439,8
0.32372281234193223,9
0.23898576145274453,9
0.20449443349979382,9
0.14834250827459655,9
0.10760889655597314,9
0.06598545607594641,9
0.02663049155948306,9
0.030612378105296136,9
0.039883192362687,9
0.23668858539875232,10
0.1782397853900124,10
0.1554267650158061,10
0.11455814511841676,10
0.08229930380136775,10
0.05131682527805707,10
0.020211765718043104,10
0.022358784903985483,10
0.016027259857867442,10
