RatioValue,Transmission
0.8137002494316771,1
0.716178284188329,2
0.6844125115619248,3
0.6993807421835823,4
0.6889037132538047,5
0.6284400477492638,6
0.5470488653445085,7
0.39781868795687586,8
0.1999642100193158,9
0.7570081048040557,1
0.8175542986915753,2
0.7581698187951381,3
0.7055463405830146,4
0.7434298791316588,5
0.705998891445535,6
0.6332829211710013,7
0.5109969329135313,8
0.28172106206596303,9
0.6671599290621884,1
0.770916475894313,2
0.8220472398073086,3
0.8335531132814182,4
0.7224384993821985,5
0.7447036412551883,6
0.7050452177005433,7
0.596017536394084,8
0.35430862580746486,9
0.7265935124338379,1
0.8253956501962824,2
0.7744100190903684,3
0.8328178148380325,4
0.8388978733693537,5
0.804082169828003,6
0.7595972717106911,7
0.6829986059387122,8
0.43516230035595693,9
0.7816249848948055,1
0.7348522079039015,2
0.8614482639427373,3
0.7946514045664002,4
0.9313926723277228,5
0.8457888443066816,6
0.8429178608657223,7
0.7759951038497961,8
0.5367405508429093,9
0.8331192385246441,1
0.7784663803416766,2
0.918048345484261,3
0.8805141513403631,4
0.8384255267204309,5
0.9709066049062224,6
0.9351941383316219,7
0.8846464747590307,8
0.6548823387014666,9
0.881813985723288,1
0.8391036551224788,2
0.8362784367839908,3
0.9885515653473985,4
0.9191953140140867,5
1.079413251710255,6
1.083804942614501,7
1.0283877482927282,8
0.8114855718383467,9
0.9251915818578416,1
0.8963139316276372,2
0.8747741257595405,3
1.0553128477263987,4
1.0426572659953237,5
1.0414523761497456,6
1.1783893783423127,7
1.2940271616972978,8
1.0464554706640266,9
0.9478657827793038,1
0.9270507265091077,2
0.9062300821293569,3
0.9484444720208131,4
1.1157770662522335,5
1.0763528314702369,6
1.2867669212313375,7
1.3980821652420268,8
1.278378807275338,9
0.9560678637523049,1
0.938314446580971,2
0.9192185930031026,3
0.9221036515138026,4
1.1015887995130982,5
1.0971014382839692,6
1.2273591695133192,7
1.436017989489283,8
1.4158141253396226,9
0.9431999715545063,1
0.8094665822904223,2
0.783755030745469,3
0.77227213996398,4
0.7076207272163361,5
0.5921543472650294,6
0.45225933204919866,7
0.3003567580274065,8
0.14891311985729724,9
0.981058422308485,1
0.9476377449453575,2
0.8563792810552469,3
0.8219579525629441,4
0.8213099941126238,5
0.7274563143867139,6
0.583937623221343,7
0.41316439023148555,8
0.210874225706597,9
0.6909417369084456,1
0.9953754751032361,2
0.9526576075523141,3
0.9713313941094102,4
0.8485522884257991,5
0.8223318352169652,6
0.704095943006533,7
0.5138128650635736,8
0.27697924688610576,9
0.7265188256345636,1
1.0696359908726785,2
0.996509260159428,3
0.9789270541867169,4
0.9800916122145972,5
0.9154821553506544,6
0.8082430998902608,7
0.6306408048397331,8
0.34620998904066086,9
0.7815388670974691,1
0.754091328719497,2
1.1065094126244353,3
1.0234498718471818,4
1.1189800421358373,5
0.9997467737547451,6
0.9318538118702454,7
0.7639506100543988,8
0.450583536998888,9
0.8330294848636971,1
0.8061759010584799,2
1.1896490671978521,3
1.1367717414132752,4
1.0896998551783281,5
1.1881400064521053,6
1.0735911941829834,7
0.9041688092693719,8
0.5858877410105419,9
0.8816744851932395,1
0.8389229502961957,2
0.8509054527616332,3
1.2698000729753072,4
1.2278514150209165,5
1.452221645084724,6
1.3034983127405408,7
1.0876470981299498,8
0.7662418718852779,9
0.9251336440057997,1
0.8962361368754426,2
0.903731619501746,3
1.3675739009210515,4
1.3385588981880958,5
1.384033597931164,6
1.586035450127857,7
1.4340814110543647,8
1.0057500699733277,9
0.9483566194345117,1
0.9277225907921207,2
0.939510049795088,3
0.9548803415614238,4
1.437183420306409,5
1.4421011247061888,6
1.768437501950348,7
1.7569092016103856,8
1.2455853422577583,9
0.9564500150234361,1
0.9388411501856352,2
0.9198944271163562,3
0.9472733723383528,4
1.4294661436541676,5
1.4645171603654512,6
1.667591068403923,7
1.8363895235503922,8
1.4620218454540952,9
0.7471460023705218,1
0.6625693308181918,2
0.6260854959564275,3
0.6275269242689584,4
0.5991769875054201,5
0.5243220594325771,6
0.42787823149064785,7
0.2950812849693788,8
0.1468624867155439,9
0.7047421203594545,1
0.7507661615289922,2
0.7001522483036466,3
0.642512856510716,4
0.6670916845829702,5
0.6122559021720391,6
0.5244721076511868,7
0.3929383047052948,8
0.20775519031236359,9
0.6680620477124747,1
0.7108968503534816,2
0.75508931341154,3
0.7594426031322706,4
0.6563524465560645,5
0.6644211463475526,6
0.6008752927468802,7
0.4764774233619986,8
0.2669368144431426,9
0.7268522168791113,1
0.7685337057462819,2
0.7142059372293992,3
0.7649246689121978,4
0.7636391755153175,5
0.7094684851224434,6
0.6589859008267073,7
0.55562192403709,8
0.32740314433505274,9
0.7819238487529453,1
0.7306498088218397,2
0.7950801714706158,3
0.729552730677699,4
0.8393641510173898,5
0.7668745657640889,6
0.732962295280075,7
0.6439215853203877,8
0.40917987169547565,9
0.8334673959552872,1
0.7796993691786732,2
0.8550068724586233,3
0.812550507308679,4
0.7703737900582776,5
0.8707756899315533,6
0.8192149512632816,7
0.7449475428974672,8
0.5195371645129091,9
0.8820986203744848,1
0.8401676777023838,2
0.8301592205691684,3
0.9122527427947257,4
0.8494652286864854,5
0.9426701170388839,6
0.9393034958143295,7
0.856261174789241,8
0.6554529135544481,9
0.9250773086641021,1
0.8961604974644801,2
0.874188228070024,3
0.981890329607769,4
0.9613193905526275,5
0.9441742580150175,6
1.0210816801835179,7
1.0536801650677674,8
0.8320832259589461,9
0.946705935380675,1
0.9254642140142173,2
0.905134877459743,3
0.9275836908827795,4
1.0266784787896484,5
0.9849934117311804,6
1.1044688427444902,7
1.12778043329345,8
0.9348439952753946,9
0.955146616782019,1
0.9370454284686063,2
0.9183511794886409,3
0.914294255755702,4
1.0222603172113514,5
1.0095046491655988,6
1.0739463438893602,7
1.1554870126273147,8
0.9923818004444223,9
